,Query,no_single_qts,no_double_qts,no_punct,no_single_cmnt,no_mult_cmnt,no_space,no_perc,no_log_opt,no_arith,no_null,no_hexa,no_alpha,no_digit,len_of_chr_char_null,genuine_keywords,log_query_len,box_query_len
25254,select * from spend where highway = 'organized' fetch first 3 rows only,2,0,4,0,0,12,0,0,1,0,0,54,1,0,3,4.262679877041316,5.927077040928176
16064,mayolas,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,1.9459101490553128,2.25279015210122
29761,"   select slipped, sister, street from exactly where blood  is null",0,0,2,0,0,10,0,0,0,1,0,52,0,1,1,4.204692619390966,5.819025031871101
6636,"1%"" or   (  select * from   (  select  (  sleep  (  5   )    )     )  sddo  )  #",0,1,12,0,0,17,1,1,1,0,0,27,2,0,2,4.382026634673881,6.152384767567401
28313,select * from also fetch first 3 rows only select top 50 percent * from powder,0,0,2,0,0,15,0,0,2,0,0,58,3,0,5,4.356708826689592,6.104257869167092
29936,select distinct art from if,0,0,0,0,0,4,0,0,0,0,0,23,0,0,1,3.295836866004329,4.240494654101009
23036,select due ( s ) from outline inner join,0,0,2,0,0,8,0,0,0,0,0,30,0,0,2,3.688879454113936,4.897348914472564
5250,"1'  )   and   (  select 9067 from  (  select count  (  *  )  ,concat  (  0x7171706a71,  (  select   (  elt  (  9067  =  9067,1   )    )     )  ,0x717a767a71,floor  (  rand  (  0  )  *2   )    )   x from information_schema.character_sets group by x  )  a  )   and   (  'nlfl' like 'nlfl",4,0,35,0,0,49,0,2,2,0,0,112,35,1,4,5.652489180268651,8.812612753866452
21924,select avg ( salt ) from personal select sum ( hit ) ,0,0,4,0,0,12,0,0,0,0,0,37,0,0,4,3.970291913552122,5.391515666300752
17969,pampanas soto,0,0,0,0,0,1,0,0,0,0,0,12,0,0,0,2.5649493574615367,3.1155015354702966
27829,select avg ( solution ) from spell select sum ( addition ) ,0,0,4,0,0,12,0,0,0,0,0,43,0,0,4,4.07753744390572,5.5852871348767055
13780,discoro,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,1.9459101490553128,2.25279015210122
8249,"1""   )    )     )   or char  (  119  )  ||char  (  100  )  ||char  (  99  )  ||char  (  121  )    =  regexp_substring  (  repeat  (  right  (  char  (  1441  )  ,0  )  ,5000000000  )  ,null  )  --",0,1,33,1,0,38,0,4,2,1,0,52,27,6,0,5.278114659230517,7.976447065254482
30662,select * from zero fetch first 3 rows only select top 50 percent * from mirror,0,0,2,0,0,15,0,0,2,0,0,58,3,0,5,4.356708826689592,6.104257869167092
23384,select top 3 * from paint where change = 'metal',2,0,4,0,0,9,0,0,1,0,0,34,1,0,2,3.871201010907891,5.215173163969822
15721,03307827j,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,2.19722457733622,2.593591245490939
2500,-4191  )   order by 1#,0,0,3,0,0,4,0,0,1,0,0,7,5,0,1,3.091042453358316,3.9129887722739327
1482,"1'   )    )     )   and 6537  =  dbms_pipe.receive_message  (  chr  (  76  )  ||chr  (  116  )  ||chr  (  117  )  ||chr  (  65  )  ,5  )   and    (    (     (  'cimm' like 'cimm",4,0,31,0,0,33,0,5,0,0,0,52,16,4,0,5.176149732573829,7.756569853335825
2052,"1%"" and 2853  =  cast   (    (   chr  (  113  )  ||chr  (  113  )  ||chr  (  112  )  ||chr  (  106  )  ||chr  (  113   )    )   ||  (  select   (  case when   (  2853  =  2853  )   then 1 else 0 end   )    )   ::text||  (  chr  (  113  )  ||chr  (  122  )  ||chr  (  118  )  ||chr  (  122  )  ||chr  (  113   )    )    as numeric  )   and ""%""  =  """,0,4,63,0,0,75,2,12,0,0,0,78,45,10,1,5.8522024797744745,9.277856026501183
15612,"calle muelles, 70, 6g",0,0,2,0,0,3,0,0,0,0,0,13,3,0,0,3.044522437723423,3.839958531231341
28697,select * from mark where pony = 'led' limit 3,2,0,4,0,0,9,0,0,1,0,0,31,1,0,1,3.80666248977032,5.101693885125393
23624,select stage ( s ) from guess inner join,0,0,2,0,0,8,0,0,0,0,0,30,0,0,2,3.688879454113936,4.897348914472564
6788,"1%""   )    )    and 8189  =    (  select count  (  *  )   from sysibm.systables as t1,sysibm.systables as t2,sysibm.systables as t3  )  --",0,1,17,1,0,21,1,1,3,0,0,72,8,0,2,4.927253685157205,7.2334909053693135
4371,end and   (  4610  =  4610,0,0,2,0,0,5,0,1,0,0,0,6,8,0,0,3.258096538021482,4.179397132269193
22391,select * from value,0,0,1,0,0,3,0,0,1,0,0,15,0,0,1,2.9444389791664403,3.684523708911846
22311,select top 50 percent * from measure select * from except fetch first 50 percent rows onlyselect top 3 * from push,0,0,3,0,0,21,0,0,3,0,0,85,5,0,6,4.736198448394496,6.8447556498973405
14159,nao,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1.0986122886681098,1.19230319601282
23495,select * from winter where thumb = 'drew' fetch first 3 rows only,2,0,4,0,0,12,0,0,1,0,0,48,1,0,3,4.174387269895637,5.762920220853171
29987,select avg ( girl )  from saddle  select sum ( stronger ) ,0,0,4,0,0,12,0,0,0,0,0,40,0,0,4,4.060443010546419,5.554195840989334
28395,select interest ( s )  from still,0,0,2,0,0,6,0,0,0,0,0,24,0,0,1,3.49650756146648,4.571113592379885
21509,select top 50 percent * from writing,0,0,1,0,0,6,0,0,1,0,0,27,2,0,2,3.58351893845611,4.717530264472627
8740,"select count  (  *  )   from generate_series  (  1,5000000  )   and ""ihbe"" like ""ihbe",0,3,10,0,0,13,0,1,1,0,0,44,8,0,2,4.442651256490317,6.268357393526619
29787,select * from branch where result = 'window' fetch first 3 rows only,2,0,4,0,0,12,0,0,1,0,0,51,1,0,3,4.219507705176107,5.846543550882007
26757,"  select * from classroom where simplest not in  ( 'pleasant', 'stems', 'summer' )  ",6,0,11,0,0,14,0,1,1,0,0,56,0,0,1,4.430816798843313,6.245637257588747
6723,"1""   )    )     )   and elt  (  3114  =  3114,sleep  (  5   )    )   #",0,1,11,0,0,14,0,1,0,0,0,11,10,0,0,4.248495242049359,5.900560584269694
29195,select * from base fetch first 3 rows only select top 50 percent * from limited,0,0,2,0,0,15,0,0,2,0,0,59,3,0,5,4.3694478524670215,6.128451232979604
7784,1'  )   where 3636  =  3636 or 4240  =    (  select 4240 from pg_sleep  (  5   )    )   --,1,0,11,1,0,18,0,1,2,0,0,24,18,0,1,4.499809670330265,6.378649993862576
26788,select nice from arrive union all select enemy from immediately order by such,0,0,0,0,0,12,0,0,0,0,0,65,0,0,3,4.343805421853684,6.0797984693327525
20661,"  select gentlyid as id, tea as hill from answer",0,0,1,0,0,9,0,0,0,0,0,37,0,0,1,3.871201010907891,5.215173163969822
13764,argecilla,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,2.19722457733622,2.593591245490939
